Depth	Arc	Bac	Bathy
5	2876017.173	48128215.5	
20	27036569.39	93275340.76	
50	19889945.87	46533763.93	
90	5116152.609	12611934.84	
130	6059547.637	14366167.12	
170	13022298.23	14176382.03	
210	15295417.6	8589803.887	
250	6643533.69	8707026.856	
290	10019532.64	9250027.032	
330	12690933.12	7030270.548	
410	5279725.031	2242066.553	
500	16914098.52	3779105.044	
540	16858708.87	13879661.98	
580	4296814.422	1480019.16	
10			3203950.271
30			5675435.864
70			3731846.941
110			1705431.744
150			5417429.741
190			9403210.982
230			5573960.852
270			5746985.218
310			5916237.5
350			8463691.559
390			7446891.429
430			4618282.324
520			15238655.94
560			10159153.01
600			3987370.356
